id;studentcode;name;surname
1;Bedfordshi;GB whiteboard;PCI frame Configuration
2;Shoes;Analyst;program
3;bypassing ;cross-platform connect Refined;Avon Shoes Bedfordshire
4;partnershi;Intranet South Dakota;Shoes
5;multi-byte;even-keeled;algorithm Handmade
6;port Maine;bypassing;backing up Iran Intranet
7;Usability ;olive;budgetary management transmit payment
8;Practical ;Lari Advanced quantifying;Total system matrix
9;Automotive;Pre-emptive;online repurpose
10;generating;deposit indexing clear-thinking;Keyboard
